iter	Passed	Remaining
0	57	5647
1	59	2905
2	61	1987
3	63	1516
4	65	1242
5	67	1057
6	69	924
7	71	824
8	74	748
9	76	686
10	78	635
11	81	596
12	84	562
13	86	532
14	88	503
15	91	480
16	93	457
17	96	438
18	98	420
19	100	403
20	102	387
21	105	372
22	107	358
23	109	345
24	111	334
25	113	323
26	115	312
27	117	303
28	120	293
29	122	284
30	124	276
31	126	268
32	128	261
33	130	254
34	133	247
35	135	240
36	137	234
37	140	228
38	142	222
39	144	217
40	147	211
41	147	204
42	149	198
43	151	193
44	154	189
45	156	184
46	158	179
47	161	175
48	165	172
49	167	167
50	170	163
51	172	158
52	173	154
53	175	149
54	176	144
55	178	139
56	179	135
57	181	131
58	184	128
59	186	124
60	187	120
61	189	116
62	191	112
63	193	108
64	195	105
65	197	101
66	200	98
67	205	96
68	207	93
69	215	92
70	234	95
71	242	94
72	245	90
73	253	89
74	258	86
75	261	82
76	265	79
77	267	75
78	269	71
79	273	68
80	276	64
81	284	62
82	287	58
83	289	55
84	291	51
85	293	47
86	295	44
87	298	40
88	300	37
89	302	33
90	304	30
91	306	26
92	308	23
93	310	19
94	312	16
95	315	13
96	317	9
97	319	6
98	321	3
99	322	0
